county,date,time,type,mag,dth,inj,prd,crd
NORTHERN QUEENS (ZONE),03/06/2013,    10:00,Strong Wind,34  kts. MS,0,0,1.00K,0.00K
SOUTHERN QUEENS (ZONE),03/06/2013,    17:00,Strong Wind,34  kts. MS,0,0,1.00K,0.00K
BRONX (ZONE),03/07/2013,    22:00,Winter Weather,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),03/07/2013,    22:00,Winter Weather,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),03/07/2013,    22:00,Winter Weather,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),03/07/2013,    23:20,Winter Weather,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),03/09/2013,    05:00,Coastal Flood,,0,0,0.00K,0.00K
KINGS CO.,05/08/2013,    08:00,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,05/09/2013,    10:15,Flash Flood,,0,0,0.00K,0.00K
NEW YORK CO.,05/11/2013,    15:08,Thunderstorm Wind,61  kts. EG,0,0,4.00K,0.00K
NEW YORK CO.,05/11/2013,    15:08,Thunderstorm Wind,65  kts. EG,0,0,3.00K,0.00K
RICHMOND CO.,05/23/2013,    14:35,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,05/23/2013,    15:58,Flash Flood,,0,0,0.00K,0.00K
NEW YORK CO.,06/02/2013,    22:59,Flash Flood,,0,0,0.00K,0.00K
NEW YORK CO.,06/07/2013,    22:05,Flood,,0,0,0.00K,0.00K
KINGS CO.,06/17/2013,    14:40,Thunderstorm Wind,52  kts. EG,0,0,5.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),07/07/2013,    00:00,Excessive Heat,,1,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),07/19/2013,    00:00,Excessive Heat,,1,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),07/19/2013,    00:00,Excessive Heat,,4,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),07/19/2013,    00:00,Excessive Heat,,1,0,0.00K,0.00K
BRONX (ZONE),07/19/2013,    00:00,Excessive Heat,,1,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),07/19/2013,    10:00,Excessive Heat,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),07/19/2013,    10:00,Excessive Heat,,1,0,0.00K,0.00K
QUEENS CO.,09/02/2013,    12:30,Flash Flood,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),11/01/2013,    08:00,Strong Wind,49  kts. EG,0,0,50.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),11/01/2013,    09:00,Strong Wind,39  kts. EG,0,4,20.00K,0.00K
KINGS (BROOKLYN) (ZONE),11/13/2013,    00:00,Cold/wind Chill,,1,0,0.00K,0.00K
BRONX (ZONE),12/05/2013,    08:00,Dense Fog,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),12/05/2013,    08:00,Dense Fog,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),12/05/2013,    08:00,Dense Fog,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),12/05/2013,    08:00,Dense Fog,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),12/05/2013,    08:00,Dense Fog,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),12/05/2013,    08:00,Dense Fog,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),12/14/2013,    10:28,Winter Weather,,0,0,0.00K,0.00K
BRONX (ZONE),12/14/2013,    10:28,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/02/2014,    18:30,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),01/02/2014,    18:30,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/02/2014,    18:30,Heavy Snow,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/02/2014,    18:30,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/02/2014,    18:30,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/02/2014,    18:30,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),01/21/2014,    08:15,Heavy Snow,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),01/21/2014,    08:15,Heavy Snow,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),01/21/2014,    08:15,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/21/2014,    08:30,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),01/21/2014,    08:45,Heavy Snow,,0,0,0.00K,0.00K
